seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	95514674	95514845	172	*	X110	104079	95509845	95514570	4726	-	103	upstream	103	Nxph3
chr11	97362329	97362867	539	*	X111	192157	97362435	97398542	36108	+	0	overlapStart	0	Socs7
chr11	97574970	97575389	420	*	X112	56013	97509340	97575226	65887	-	0	overlapStart	0	Srcin1
chr11	105589639	105589705	67	*	X113	77097	105589986	105929304	339319	+	280	upstream	280	Tanc2
chr11	105589762	105590165	404	*	X114	77097	105589986	105929304	339319	+	0	overlapStart	0	Tanc2
chr11	116412619	116413051	433	*	X119	217340	116336353	116413032	76680	-	0	overlapStart	0	Rnf157
chr11	119085927	119086244	318	*	X123	12418	119077573	119086221	8649	-	0	overlapStart	0	Cbx4
chr11	120784128	120784574	447	*	X124	19719	120780746	120784207	3462	-	0	overlapStart	0	Rfng
chr11	120784128	120784574	447	*	X124	209318	120784272	120789102	4831	+	0	overlapStart	0	Gps1
chr11	121259809	121259884	76	*	X125	68837	121259990	121309896	49907	+	105	upstream	105	Foxk2
chr11	121259966	121260218	253	*	X126	68837	121259990	121309896	49907	+	0	overlapStart	0	Foxk2
chr12	4476650	4477215	566	*	X128	17977	4247362	4477182	229821	-	0	overlapStart	0	Ncoa1
chr12	4477272	4477339	68	*	X129	17977	4247362	4477182	229821	-	89	upstream	89	Ncoa1
chr12	24651295	24651518	224	*	X130	194655	24651274	24662789	11516	+	0	inside	20	Klf11
chr12	26414954	26415306	353	*	X131	102466676	26414901	26415010	110	-	0	overlapStart	0	Mir6538
chr12	26414954	26415306	353	*	X131	108089	26306794	26415254	108461	-	0	overlapStart	0	Rnf144a
chr12	69986819	69987270	452	*	X134	64010	69965012	69987002	21991	-	0	overlapStart	0	Sav1
chr12	80436313	80436842	530	*	X136	320808	80335848	80436601	100754	-	0	overlapStart	0	Dcaf5
chr12	81780860	81781230	371	*	X137	338372	81721010	81781175	60166	-	0	overlapStart	0	Map3k9
chr12	103532446	103532761	316	*	X138	74521	103532283	103613831	81549	+	0	inside	162	Ppp4r4
chr12	104751807	104752136	330	*	X139	192119	104687742	104751952	64211	-	0	overlapStart	0	Dicer1
chr12	108274988	108275338	351	*	X140	668158	108203602	108275425	71824	-	0	inside	86	Ccdc85c
chr12	110978778	110979124	347	*	X141	74251	110975353	110979040	3688	-	0	overlapStart	0	Ankrd9
chr12	111039519	111039880	362	*	X142	217864	111039351	111115901	76551	+	0	inside	167	Rcor1
chr12	111377356	111377682	327	*	X143	217866	111292976	111377718	84743	-	0	inside	35	Cdc42bpb
chr12	111907772	111908082	311	*	X144	21981	111828457	111908110	79654	-	0	inside	27	Ppp1r13b
chr12	112929289	112929873	585	*	X148	16450	112907819	112929776	21958	-	0	overlapStart	0	Jag2
chr13	9764105	9765050	946	*	X151	66505	9684833	9765330	80498	-	0	inside	279	Zmynd11
chr13	14064142	14064585	444	*	X153	14593	14050659	14063488	12830	-	653	upstream	653	Ggps1
chr13	17804875	17805208	334	*	X154	69562	17710315	17805097	94783	-	0	overlapStart	0	Cdk13
chr13	30659940	30660212	273	*	X156	105352	30659999	30711231	51233	+	0	overlapStart	0	Dusp22
chr13	34344598	34345304	707	*	X157	73102	34179158	34345182	166025	-	0	overlapStart	0	Slc22a23
chr13	41605842	41606184	343	*	X160	621976	41605907	41641355	35449	+	0	overlapStart	0	Tmem170b
chr13	43480858	43481491	634	*	X161	56705	43402675	43481282	78608	-	0	overlapStart	0	Ranbp9
chr13	45001886	45002228	343	*	X164	94245	44922075	45002147	80073	-	0	overlapStart	0	Dtnbp1
chr13	47105807	47106158	352	*	X166	110052	47084775	47106201	21427	-	0	inside	42	Dek
chr13	49147728	49148058	331	*	X167	75607	49036303	49148014	111712	-	0	overlapStart	0	Wnk2
chr13	51100739	51100785	47	*	X168	20729	51100880	51152546	51667	+	94	upstream	94	Spin1
chr13	51100837	51101242	406	*	X169	20729	51100880	51152546	51667	+	0	overlapStart	0	Spin1
chr13	51793391	51793727	337	*	X170	20354	51685529	51793747	108219	-	0	inside	19	Sema4d
chr13	55445320	55445612	293	*	X171	26385	55445072	55460927	15856	+	0	inside	247	Grk6
chr13	56703154	56703483	330	*	X174	17129	56703010	56742377	39368	+	0	inside	143	Smad5
chr13	58128193	58128568	376	*	X175	77134	58125879	58128556	2678	-	0	overlapStart	0	Hnrnpa0
chr13	58128621	58128901	281	*	X176	77134	58125879	58128556	2678	-	64	upstream	64	Hnrnpa0
chr13	58215210	58215640	431	*	X177	56085	58176156	58215653	39498	-	0	inside	12	Ubqln1
chr13	93499399	93499971	573	*	X181	57748	93430101	93499808	69708	-	0	overlapStart	0	Jmy
chr13	100616541	100617085	545	*	X182	218518	100595957	100616971	21015	-	0	overlapStart	0	Marveld2
chr13	100651359	100651681	323	*	X183	108143	100651343	100656060	4718	+	0	inside	15	Taf9
chr13	100651359	100651681	323	*	X183	19356	100617164	100651051	33888	-	307	upstream	307	Rad17
chr13	103920690	103921321	632	*	X184	59079	103818787	103920514	101728	-	175	upstream	175	Erbin
chr13	107022198	107022284	87	*	X185	100040322	107022553	107055497	32945	+	268	upstream	268	3830408C21Rik
chr13	107022198	107022284	87	*	X185	16563	106958996	107022126	63131	-	71	upstream	71	Kif2a
chr13	107022495	107022549	55	*	X186	100040322	107022553	107055497	32945	+	3	upstream	3	3830408C21Rik
chr13	107022495	107022549	55	*	X186	16563	106958996	107022126	63131	-	368	upstream	368	Kif2a
chr13	107888941	107890036	1096	*	X187	67263	107724617	107890064	165448	-	0	inside	27	Zswim6
chr13	113617883	113618319	437	*	X190	170625	113592179	113618564	26386	-	0	inside	244	Snx18
chr13	119428027	119429509	1483	*	X191	218693	119428601	119458218	29618	+	0	overlapStart	0	Paip1
chr13	119488221	119488553	333	*	X192	633640	119488039	119611059	123021	+	0	inside	181	Tmem267
chr13	119488221	119488553	333	*	X192	67304	119487252	119488384	1133	-	0	overlapStart	0	3110070M22Rik
chr14	8214196	8214542	347	*	X193	71393	8214140	8223563	9424	+	0	inside	55	Kctd6
chr14	18331304	18331852	549	*	X195	22194	18282722	18331859	49138	-	0	inside	6	Ube2e1
chr14	34310681	34310931	251	*	X200	14661	34310727	34345265	34539	+	0	overlapStart	0	Glud1
chr14	34310681	34310931	251	*	X200	75698	34237033	34310493	73461	-	187	upstream	187	Shld2
chr14	45219838	45220162	325	*	X201	70561	45133465	45220328	86864	-	0	inside	165	Txndc16
chr14	45219838	45220162	325	*	X201	70713	45219719	45282725	63007	+	0	inside	118	Gpr137c
chr14	45657814	45658122	309	*	X202	100628600	45657961	45658053	93	-	0	includeFeature	0	Mir5131
chr14	45657814	45658122	309	*	X202	114874	45588467	45658143	69677	-	0	inside	20	Ddhd1
chr14	49172085	49172102	18	*	X203	70646	49172226	49191031	18806	+	123	upstream	123	Naa30
chr14	49172163	49172482	320	*	X204	70646	49172226	49191031	18806	+	0	overlapStart	0	Naa30
chr14	61439381	61439705	325	*	X207	16648	61365211	61439874	74664	-	0	inside	168	Kpna3
chr14	65358480	65358854	375	*	X209	380912	65358389	65398930	40542	+	0	inside	90	Zfp395
chr14	70519851	70520187	337	*	X210	12153	70474558	70520234	45677	-	0	inside	46	Bmp1
chr14	70766166	70766770	605	*	X211	65246	70654246	70766628	112383	-	0	overlapStart	0	Xpo7
chr14	73325457	73326059	603	*	X212	19645	73195502	73325822	130321	-	0	overlapStart	0	Rb1
chr14	78732306	78732789	484	*	X213	380921	78558750	78732776	174027	-	0	overlapStart	0	Dgkh
chr14	87416533	87417224	692	*	X214	219249	87416639	87545504	128866	+	0	overlapStart	0	Tdrd3
chr14	102982563	102982672	110	*	X216	100628599	102982549	102982632	84	-	0	overlapStart	0	Mir5130
chr14	102982563	102982672	110	*	X216	239217	102976581	102982637	6057	-	0	overlapStart	0	Kctd12
chr14	102982784	102982874	91	*	X217	100628599	102982549	102982632	84	-	151	upstream	151	Mir5130
chr14	102982784	102982874	91	*	X217	239217	102976581	102982637	6057	-	146	upstream	146	Kctd12
chr14	103098942	103099308	367	*	X218	50789	103080239	103099566	19328	-	0	inside	257	Fbxl3
chr14	103650227	103650718	492	*	X219	105439	103650228	103704907	54680	+	0	overlapStart	0	Slain1
chr14	104467427	104468041	615	*	X220	18996	104461676	104467999	6324	-	0	overlapStart	0	Pou4f1
chr14	104468144	104468380	237	*	X221	18996	104461676	104467999	6324	-	144	upstream	144	Pou4f1
chr14	115041145	115042039	895	*	X222	387135	115043851	115043946	96	+	1811	upstream	1811	Mir18
chr14	115041145	115042039	895	*	X222	723891	115044000	115044081	82	+	1960	upstream	1960	Mir19a
chr14	115041145	115042039	895	*	X222	723905	115043671	115043754	84	+	1631	upstream	1631	Mir17
chr14	120478271	120478759	489	*	X223	76108	120478444	120507194	28751	+	0	overlapStart	0	Rap2a
chr14	120911111	120911578	468	*	X225	70572	120911224	120947999	36776	+	0	overlapStart	0	Ipo5
chr14	121797543	121797899	357	*	X228	105445	121542046	121797837	255792	-	0	overlapStart	0	Dock9
chr14	121797952	121797957	6	*	X229	105445	121542046	121797837	255792	-	114	upstream	114	Dock9
chr15	9071438	9071748	311	*	X233	68646	9071260	9110891	39632	+	0	inside	177	Nadk2
chr15	12117957	12118563	607	*	X234	22763	12117831	12185683	67853	+	0	inside	125	Zfr
chr15	31530670	31531058	389	*	X237	223455	31455891	31531053	75163	-	0	overlapStart	0	Marchf6
chr15	31531137	31531311	175	*	X238	223455	31455891	31531053	75163	-	83	upstream	83	Marchf6
chr15	38078345	38078872	528	*	X240	70790	37967328	38078854	111527	-	0	overlapStart	0	Ubr5
chr15	39005993	39006327	335	*	X242	14368	39006034	39038188	32155	+	0	overlapStart	0	Fzd6
chr15	41447217	41447571	355	*	X244	170719	41447482	41861048	413567	+	0	overlapStart	0	Oxr1
chr15	53345969	53345978	10	*	X245	14042	53064038	53346159	282122	-	0	inside	180	Ext1
chr15	58823005	58823419	415	*	X246	74868	58782269	58823530	41262	-	0	inside	110	Tmem65
chr15	64060076	64060434	359	*	X248	223601	63929097	64060478	131382	-	0	inside	43	Cyrib
chr15	66286597	66286729	133	*	X249	110862	65986387	66286642	300256	-	0	overlapStart	0	Kcnq3
chr15	73184548	73185102	555	*	X250	239528	73095844	73184935	89092	-	0	overlapStart	0	Ago2
chr15	73422865	73423179	315	*	X251	14083	73205102	73423280	218179	-	0	inside	100	Ptk2
chr15	75747974	75748230	257	*	X254	378435	75745490	75748228	2739	-	0	overlapStart	0	Mafa
chr15	76009365	76009761	397	*	X255	432964	76009888	76046981	37094	+	126	upstream	126	Iqank1
chr15	76069266	76069639	374	*	X256	105782	76047158	76069784	22627	-	0	inside	144	Scrib
chr15	76817861	76818178	318	*	X258	223666	76723985	76818170	94186	-	0	overlapStart	0	Arhgap39
chr15	79804326	79804773	448	*	X261	73340	79786351	79804766	18416	-	0	overlapStart	0	Nptxr
chr15	79834115	79834332	218	*	X262	504193	79789262	79834325	45064	-	0	overlapStart	0	Npcd
chr15	81745278	81745620	343	*	X263	19387	81704248	81745530	41283	-	0	overlapStart	0	Rangap1
chr15	81745278	81745620	343	*	X263	20286	81745057	81796260	51204	+	0	inside	220	Zc3h7b
chr15	84855897	84856316	420	*	X264	271305	84785381	84856049	70669	-	0	overlapStart	0	Phf21b
chr15	88751705	88752005	301	*	X266	223773	88751660	88784516	32857	+	0	inside	44	Zbed4
chr15	94628955	94629381	427	*	X269	320709	94629232	95096098	466867	+	0	overlapStart	0	Tmem117
chr15	96286743	96287681	939	*	X270	77044	96287518	96404992	117475	+	0	overlapStart	0	Arid2
chr15	96460501	96460882	382	*	X271	72193	96411699	96460843	49145	-	0	overlapStart	0	Scaf11
chr15	97247228	97247624	397	*	X272	105827	97244125	97247287	3163	-	0	overlapStart	0	Amigo2
chr15	97247228	97247624	397	*	X272	239647	97247107	97385680	138574	+	0	inside	120	Pced1b
chr15	99224547	99224815	269	*	X277	16512	99224861	99242817	17957	+	45	upstream	45	Kcnh3
chr15	99670530	99670949	420	*	X279	11419	99670368	99701130	30763	+	0	inside	161	Asic1
chr15	100038672	100038993	322	*	X280	239667	100038664	100219473	180810	+	0	inside	7	Dip2b
chr15	100636545	100636909	365	*	X281	207818	100621339	100636940	15602	-	0	inside	30	Smagp
chr15	101173893	101173953	61	*	X283	11479	101174067	101213684	39618	+	113	upstream	113	Acvr1b
chr15	101174099	101174293	195	*	X284	11479	101174067	101213684	39618	+	0	inside	31	Acvr1b
chr16	4420085	4420608	524	*	X286	11515	4287529	4420498	132970	-	0	overlapStart	0	Adcy9
chr16	4594696	4595022	327	*	X287	83396	4594713	4624924	30212	+	0	overlapStart	0	Glis2
chr16	18877131	18877455	325	*	X293	18100	18872018	18876862	4845	-	268	upstream	268	Mrpl40
chr16	20621247	20621560	314	*	X294	73047	20619215	20621287	2073	-	0	overlapStart	0	Camk2n2
chr16	32643834	32644412	579	*	X297	51789	32643874	32683493	39620	+	0	overlapStart	0	Tnk2
chr16	37868298	37868754	457	*	X299	320184	37868389	37888858	20470	+	0	overlapStart	0	Lrrc58
chr16	43979616	43980027	412	*	X301	332175	43965033	43979791	14759	-	0	overlapStart	0	Zdhhc23
chr16	64852318	64852633	316	*	X305	72020	64780347	64851652	71306	-	665	upstream	665	Zfp654
chr16	77013747	77014265	519	*	X306	30940	77013706	77116780	103075	+	0	inside	40	Usp25
chr16	94569869	94570591	723	*	X311	13548	94570010	94695517	125508	+	0	overlapStart	0	Dyrk1a
chr16	97851325	97851819	495	*	X312	114604	97791467	97851850	60384	-	0	inside	30	Prdm15
chr17	3114861	3115583	723	*	X313	106583	3114972	3198859	83888	+	0	overlapStart	0	Scaf8
chr17	4994023	4994831	809	*	X314	239985	4994332	5347656	353325	+	0	overlapStart	0	Arid1b
chr17	5841095	5841613	519	*	X316	66616	5841329	5931954	90626	+	0	overlapStart	0	Snx9
chr17	6106666	6106741	76	*	X317	68842	6106479	6251128	144650	+	0	inside	186	Tulp4
chr17	12769210	12769724	515	*	X319	16004	12682406	12769664	87259	-	0	overlapStart	0	Igf2r
chr17	13760182	13761025	844	*	X321	17356	13760539	13906150	145612	+	0	overlapStart	0	Afdn
chr17	24488574	24489071	498	*	X323	268932	24488601	24508671	20071	+	0	overlapStart	0	Caskin1
chr17	25717470	25717688	219	*	X324	64337	25717171	25719406	2236	+	0	inside	298	Gng13
chr17	26200996	26201465	470	*	X325	50782	26202951	26211324	8374	+	1485	upstream	1485	Rgs11
chr17	26200996	26201465	470	*	X325	69191	26195999	26199087	3089	-	1908	upstream	1908	Pdia2
chr17	26414774	26415182	409	*	X326	240055	26414829	26446349	31521	+	0	overlapStart	0	Neurl1b
chr17	27203853	27204408	556	*	X327	224640	27189600	27204469	14870	-	0	inside	60	Lemd2
chr17	27556465	27557369	905	*	X328	111241	27556663	27563034	6372	+	0	overlapStart	0	Hmga1b
chr17	27556465	27557369	905	*	X328	15361	27556497	27563674	7178	+	0	overlapStart	0	Hmga1
chr17	28622063	28622458	396	*	X331	20815	28587648	28622709	35062	-	0	inside	250	Srpk1
chr17	29490735	29491150	416	*	X332	18712	29490753	29496112	5360	+	0	overlapStart	0	Pim1
chr17	30004943	30005360	418	*	X333	21769	30004733	30210828	206096	+	0	inside	209	Zfand3
chr17	31564892	31565476	585	*	X334	18771	31564734	31607693	42960	+	0	inside	157	Pknox1
chr17	31855601	31855831	231	*	X335	17691	31844250	31855804	11555	-	0	overlapStart	0	Sik1
chr17	34031888	34032235	348	*	X336	14977	34026034	34031682	5649	-	205	upstream	205	Slc39a7
chr17	34031888	34032235	348	*	X336	20182	34031812	34038399	6588	+	0	inside	75	Rxrb
chr17	34898327	34899097	771	*	X338	110147	34898469	34914052	15584	+	0	overlapStart	0	Ehmt2
chr17	35979765	35980132	368	*	X339	14670	35979851	35989462	9612	+	0	overlapStart	0	Gnl1
chr17	35979765	35980132	368	*	X339	75210	35972541	35980236	7696	-	0	inside	103	Prr3
chr17	47737046	47737306	261	*	X342	21425	47737030	47792419	55390	+	0	inside	15	Tfeb
chr17	50190132	50190482	351	*	X344	76438	49992257	50190674	198418	-	0	inside	191	Rftn1
chr17	50190545	50190663	119	*	X345	76438	49992257	50190674	198418	-	0	inside	10	Rftn1
chr17	50508914	50509730	817	*	X346	224860	50509403	50688484	179082	+	0	overlapStart	0	Plcl2
chr17	53567144	53567544	401	*	X347	18519	53566861	53672720	105860	+	0	inside	282	Kat2b
chr17	56140037	56140398	362	*	X348	20359	56123085	56140343	17259	-	0	overlapStart	0	Sema6b
chr17	56476220	56476575	356	*	X349	19280	56412426	56476483	64058	-	0	overlapStart	0	Ptprs
chr17	56935223	56935492	270	*	X350	64144	56892611	56935415	42805	-	0	overlapStart	0	Mllt1
chr17	57031005	57031408	404	*	X351	16549	57021051	57031522	10472	-	0	inside	113	Khsrp
chr17	63499291	63500279	989	*	X352	50758	63057452	63500017	442566	-	0	overlapStart	0	Fbxl17
chr17	65612821	65613423	603	*	X354	30960	65578327	65613555	35229	-	0	inside	131	Vapa
chr17	66076480	66076836	357	*	X355	106585	65965698	66077089	111392	-	0	inside	252	Ankrd12
chr17	66519405	66519741	337	*	X356	19328	66494512	66519729	25218	-	0	overlapStart	0	Rab12
chr17	69383200	69383983	784	*	X357	22666	69383050	69391199	8150	+	0	inside	149	Zbtb14
chr17	74294990	74295546	557	*	X359	76890	74199036	74295521	96486	-	0	overlapStart	0	Memo1
chr17	74338811	74339144	334	*	X360	50850	74338987	74391115	52129	+	0	overlapStart	0	Spast
chr17	75005764	75006264	501	*	X361	268977	75005568	75392512	386945	+	0	inside	195	Ltbp1
chr17	79895429	79895969	541	*	X362	56298	79848390	79896123	47734	-	0	inside	153	Atl2
chr17	80479974	80480299	326	*	X363	20662	80393751	80480453	86703	-	0	inside	153	Sos1
chr17	80727939	80728254	316	*	X364	225028	80580512	80728485	147974	-	0	inside	230	Map4k3
chr17	83215033	83215695	663	*	X365	106522	83215292	83225070	9779	+	0	overlapStart	0	Pkdcc
chr17	83706008	83706342	335	*	X366	116871	83706163	83821516	115354	+	0	overlapStart	0	Mta3
chr17	88064956	88065426	471	*	X369	225055	87990859	88065291	74433	-	0	overlapStart	0	Fbxo11
chr18	5591981	5592730	750	*	X371	21417	5591860	5775467	183608	+	0	inside	120	Zeb1
chr18	11839616	11840053	438	*	X372	621998	11820671	11839377	18707	-	238	upstream	238	Gm6277
chr18	20745844	20746148	305	*	X373	56386	20684599	20746404	61806	-	0	inside	255	B4galt6
chr18	46741850	46742265	416	*	X377	11777	46741876	46790826	48951	+	0	overlapStart	0	Ap3s1
chr18	46741850	46742265	416	*	X377	67526	46730144	46741580	11437	-	269	upstream	269	Atg12
chr18	57878318	57879174	857	*	X378	20496	57878678	57946821	68144	+	0	overlapStart	0	Slc12a2
chr18	58659306	58659728	423	*	X379	66307	58659466	58680368	20903	+	0	overlapStart	0	Isoc1
